Handle    	Owner               	Type                	Memory    	Time Created                  
0xc7800e8f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:48:32         
0x25700e90	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:49:22         
0x4a400e92	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:05:14         
0xc2500e93	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:42:57         
0x69700e94	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:58:25         
0xbdf00e95	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:43:24         
0x2bf00e96	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:13:21         
0x8e500e97	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:03:12         
0xfdc00e99	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:46:55         
0xeec00e9a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:22         
0x4d700e9b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:34         
0x92200e9d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:01:43         
0xf9100e9e	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x5a100e9f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:30:19         
0x97e00ea0	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:07         
0xf5700ea1	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x3db00ea2	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:48:46         
0x83700ea3	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:24:02         
0xf1300ea4	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x7b800ea5	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:07:48         
0x7db00ea6	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:12:19         
0x31600ea8	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:15         
0x3b000ea9	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:57:03         
0xe7e00eaa	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:50         
0xb8800eab	custom/TopInfectors.	Trie                	9244      	12/12/2022 - 18:53:48         
0x64100eac	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:31:07         
0x40100ead	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:30:21         
0x1f400eae	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:17:55         
0xcbc00eaf	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:59:32         
0x1fe00eb0	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:17:51         
0xc2200eb1	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:48:03         
0xb9100eb3	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:35         
0xad400eb4	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:00:46         
0x55400eb5	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:15         
0x55500eb6	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:15         
0x14800eba	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:19         
0x7c400ebb	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:54:29         
0xc0a00ebc	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:52:19         
0xfc200ebd	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:27         
0x5c600ebe	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:24         
0xb1900ebf	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:38         
0xdd900ec0	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:35         
0xeeb00ec2	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:22         
0x21800ec3	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:43         
0x0d600ec4	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:09         
0x0a500ec5	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:58         
0x2a900ec6	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:37         
0x9d900ec7	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:31:39         
0xeea00ec8	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:23:55         
0xbee00ec9	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:10         
0x09300ecd	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:12:45         
0xc3500ece	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:45:24         
